mese,giorno,Pioggia mm,Tmin,Tmed,Tmax,Umidita' min %,Umidita' med %,Umidita' max %,Vento med km/h,Vento max km/h,Dir. V. max °N,Radiaz. KJ/m2,Press. med hPa,anno,date
4,27,0.0,12.3,20.0,27.3,10.0,34.0,63.0,8.0,32.0,163.0,24789.0,1003.4,2007,2007-04-27
4,28,0.0,12.2,19.7,27.1,17.0,38.0,63.0,8.0,29.0,195.0,24905.0,1002.0,2007,2007-04-28
4,29,0.0,12.0,19.7,26.8,29.0,53.0,78.0,6.0,20.0,167.0,23382.0,996.2,2007,2007-04-29
4,30,11.0,14.8,18.7,24.6,34.0,58.0,84.0,8.0,28.0,90.0,15991.0,993.2,2007,2007-04-30
5,1,0.0,12.1,17.8,23.2,29.0,56.0,89.0,8.0,25.0,318.0,22214.0,994.0,2007,2007-05-01
5,2,1.6,13.6,15.5,20.5,30.0,64.0,89.0,8.0,30.0,163.0,11768.0,997.7,2007,2007-05-02
5,3,0.0,12.2,16.8,22.5,38.0,65.0,90.0,8.0,32.0,175.0,18817.0,994.7,2007,2007-05-03
5,4,31.6,12.2,14.3,17.5,57.0,82.0,92.0,10.0,41.0,55.0,4476.0,990.9,2007,2007-05-04
5,5,4.4,12.5,16.0,21.3,47.0,78.0,94.0,7.0,23.0,321.0,15391.0,989.1,2007,2007-05-05
5,6,0.8,10.6,17.1,24.6,36.0,73.0,95.0,6.0,41.0,47.0,24265.0,991.8,2007,2007-05-06
5,7,0.0,11.6,19.3,25.4,30.0,57.0,89.0,11.0,37.0,228.0,25765.0,995.7,2007,2007-05-07
5,8,0.0,14.5,19.2,24.8,44.0,68.0,87.0,8.0,25.0,117.0,18435.0,994.8,2007,2007-05-08
5,9,0.0,15.3,20.6,26.4,39.0,67.0,94.0,7.0,21.0,72.0,22137.0,994.9,2007,2007-05-09
5,10,0.0,15.0,21.6,28.3,33.0,63.0,93.0,8.0,28.0,229.0,25418.0,996.9,2007,2007-05-10
5,11,17.8,14.5,20.2,26.8,46.0,75.0,95.0,9.0,29.0,24.0,20663.0,994.0,2007,2007-05-11
5,12,5.8,16.8,20.2,25.2,60.0,80.0,97.0,9.0,31.0,71.0,14457.0,994.9,2007,2007-05-12
5,13,0.0,17.2,21.6,27.1,46.0,75.0,96.0,8.0,31.0,197.0,22537.0,997.2,2007,2007-05-13
5,14,0.0,15.7,21.5,28.1,37.0,68.0,97.0,8.0,28.0,180.0,24345.0,994.8,2007,2007-05-14
5,15,2.4,13.7,18.5,24.5,33.0,61.0,85.0,14.0,48.0,182.0,14546.0,991.9,2007,2007-05-15
5,16,3.4,10.6,14.7,20.1,38.0,63.0,94.0,14.0,43.0,3.0,22959.0,995.9,2007,2007-05-16
5,17,0.0,10.1,15.8,21.6,43.0,69.0,94.0,6.0,24.0,267.0,18022.0,990.6,2007,2007-05-17
5,18,0.0,10.7,18.6,25.7,9.0,36.0,75.0,10.0,30.0,77.0,28841.0,994.9,2007,2007-05-18
5,19,0.0,9.9,18.3,25.3,24.0,50.0,85.0,8.0,23.0,157.0,28089.0,996.8,2007,2007-05-19
5,20,0.0,12.4,21.6,28.9,25.0,49.0,80.0,7.0,25.0,208.0,27843.0,996.7,2007,2007-05-20
5,21,0.0,15.8,23.2,30.6,26.0,57.0,91.0,7.0,22.0,224.0,27178.0,997.1,2007,2007-05-21
5,22,0.0,16.0,24.9,32.8,25.0,53.0,95.0,9.0,33.0,27.0,26158.0,995.1,2007,2007-05-22
5,23,0.2,18.8,25.4,34.4,21.0,47.0,78.0,9.0,31.0,87.0,24245.0,995.9,2007,2007-05-23
5,24,0.0,17.6,25.4,33.1,25.0,49.0,80.0,8.0,23.0,229.0,27402.0,995.0,2007,2007-05-24
5,25,0.6,18.3,24.6,31.9,33.0,58.0,84.0,9.0,32.0,186.0,24270.0,992.3,2007,2007-05-25
5,26,23.4,16.1,22.2,29.5,43.0,71.0,95.0,9.0,57.0,330.0,22385.0,988.9,2007,2007-05-26
5,27,35.0,14.1,17.2,20.2,78.0,91.0,98.0,8.0,24.0,35.0,4934.0,985.8,2007,2007-05-27
5,28,46.0,12.0,16.4,23.7,53.0,87.0,98.0,9.0,42.0,199.0,12954.0,977.8,2007,2007-05-28
5,29,7.6,11.2,15.5,20.4,43.0,75.0,98.0,8.0,32.0,173.0,19979.0,983.1,2007,2007-05-29
5,30,20.6,10.5,15.7,22.1,33.0,75.0,98.0,7.0,28.0,122.0,18818.0,993.9,2007,2007-05-30
5,31,0.0,12.0,17.2,23.1,44.0,74.0,98.0,6.0,25.0,185.0,19998.0,996.6,2007,2007-05-31
6,1,23.0,14.4,15.5,17.3,85.0,92.0,98.0,8.0,27.0,166.0,3036.0,996.3,2007,2007-06-01
6,2,7.8,14.4,18.4,24.5,46.0,78.0,98.0,8.0,30.0,147.0,13281.0,997.3,2007,2007-06-02
6,3,0.0,14.6,21.8,28.2,36.0,66.0,97.0,7.0,22.0,114.0,27500.0,998.0,2007,2007-06-03
6,4,39.2,17.1,20.5,27.8,46.0,78.0,95.0,9.0,65.0,350.0,18437.0,998.0,2007,2007-06-04
6,5,0.2,15.4,20.9,27.1,43.0,77.0,98.0,7.0,23.0,357.0,17545.0,994.6,2007,2007-06-05
6,6,0.2,16.9,20.4,24.4,60.0,79.0,93.0,6.0,17.0,339.0,6784.0,993.9,2007,2007-06-06
6,7,0.8,16.1,20.5,24.3,56.0,74.0,92.0,7.0,21.0,3.0,10318.0,996.0,2007,2007-06-07
6,8,0.4,17.1,22.2,27.8,38.0,67.0,95.0,7.0,21.0,115.0,21167.0,997.3,2007,2007-06-08
6,9,0.0,15.8,23.3,30.0,29.0,63.0,95.0,6.0,14.0,35.0,27713.0,997.4,2007,2007-06-09
6,10,4.6,16.6,22.7,29.4,39.0,72.0,97.0,8.0,42.0,6.0,24142.0,995.6,2007,2007-06-10
6,11,0.6,17.5,21.6,26.4,51.0,84.0,98.0,5.0,14.0,30.0,16297.0,994.1,2007,2007-06-11
6,12,6.4,17.2,20.2,24.2,70.0,91.0,98.0,5.0,21.0,109.0,12862.0,992.1,2007,2007-06-12
6,13,0.4,16.2,21.8,28.1,51.0,83.0,98.0,6.0,23.0,185.0,21881.0,991.5,2007,2007-06-13
6,14,7.0,17.1,21.3,27.7,62.0,90.0,98.0,6.0,36.0,179.0,16394.0,992.7,2007,2007-06-14
6,15,13.0,15.6,20.2,24.4,83.0,94.0,99.0,7.0,32.0,313.0,8176.0,990.8,2007,2007-06-15
6,16,46.4,15.4,21.0,28.1,46.0,82.0,98.0,9.0,40.0,27.0,25335.0,991.2,2007,2007-06-16
6,17,6.0,16.5,21.7,28.6,54.0,82.0,99.0,8.0,26.0,168.0,24974.0,994.0,2007,2007-06-17
6,18,0.2,18.1,23.1,28.9,52.0,82.0,99.0,6.0,20.0,161.0,24140.0,994.8,2007,2007-06-18
6,19,0.0,19.2,24.6,30.7,47.0,78.0,98.0,5.0,16.0,195.0,24175.0,996.4,2007,2007-06-19
6,20,0.0,18.7,25.4,31.7,55.0,80.0,98.0,5.0,21.0,251.0,24255.0,994.4,2007,2007-06-20
6,21,0.0,19.9,26.3,31.7,44.0,76.0,98.0,7.0,23.0,176.0,22461.0,991.6,2007,2007-06-21
6,22,0.0,20.0,24.6,29.2,48.0,77.0,98.0,11.0,33.0,173.0,19856.0,991.9,2007,2007-06-22
6,23,0.0,18.2,22.2,27.4,45.0,75.0,98.0,9.0,25.0,65.0,23326.0,993.5,2007,2007-06-23
6,24,0.0,17.4,23.7,30.0,28.0,66.0,96.0,7.0,19.0,64.0,28557.0,996.8,2007,2007-06-24
6,25,0.4,16.1,24.5,31.1,30.0,68.0,98.0,5.0,22.0,217.0,27898.0,990.0,2007,2007-06-25
6,26,0.0,17.2,22.8,28.7,23.0,66.0,98.0,10.0,29.0,240.0,22226.0,984.1,2007,2007-06-26
6,27,6.0,14.7,19.2,25.8,38.0,71.0,95.0,10.0,33.0,5.0,15654.0,989.0,2007,2007-06-27
6,28,0.0,12.7,20.0,26.2,33.0,64.0,96.0,6.0,20.0,247.0,26058.0,994.7,2007,2007-06-28
6,29,26.0,17.3,21.9,27.9,40.0,70.0,98.0,6.0,28.0,352.0,21574.0,996.9,2007,2007-06-29
6,30,2.2,16.2,22.1,28.6,31.0,68.0,98.0,5.0,18.0,149.0,27164.0,998.2,2007,2007-06-30
7,1,0.0,15.7,23.1,29.7,38.0,71.0,98.0,5.0,16.0,169.0,27325.0,995.6,2007,2007-07-01
7,2,10.0,15.2,21.5,27.9,59.0,83.0,98.0,8.0,56.0,306.0,14644.0,991.9,2007,2007-07-02
7,3,0.2,14.4,22.0,28.6,49.0,76.0,99.0,7.0,22.0,223.0,24312.0,990.8,2007,2007-07-03
7,4,17.4,10.4,17.1,25.5,56.0,84.0,99.0,9.0,52.0,27.0,10457.0,987.6,2007,2007-07-04
7,5,0.4,9.2,17.0,24.0,40.0,75.0,98.0,5.0,22.0,71.0,24820.0,994.1,2007,2007-07-05
7,6,0.0,12.8,20.5,27.9,40.0,75.0,99.0,5.0,22.0,214.0,27523.0,994.8,2007,2007-07-06
7,7,0.0,16.3,23.4,29.4,38.0,71.0,98.0,6.0,15.0,75.0,28506.0,996.7,2007,2007-07-07
7,8,0.0,19.2,24.5,30.4,37.0,74.0,98.0,5.0,17.0,170.0,26708.0,997.5,2007,2007-07-08
7,9,19.2,17.8,22.5,29.7,48.0,80.0,98.0,8.0,41.0,200.0,20565.0,991.1,2007,2007-07-09
7,10,17.2,14.1,19.0,24.9,27.0,60.0,96.0,12.0,61.0,296.0,20834.0,990.3,2007,2007-07-10
7,11,0.2,12.6,17.9,24.0,39.0,72.0,97.0,7.0,30.0,251.0,21222.0,995.2,2007,2007-07-11
7,12,0.0,11.7,19.6,26.4,40.0,73.0,98.0,6.0,25.0,272.0,27271.0,998.8,2007,2007-07-12
7,13,0.0,14.9,21.9,27.9,41.0,73.0,98.0,5.0,22.0,202.0,25211.0,1001.4,2007,2007-07-13
7,14,0.0,16.6,23.4,30.1,45.0,77.0,98.0,5.0,14.0,179.0,27340.0,1001.8,2007,2007-07-14
7,15,0.2,17.8,25.2,32.5,45.0,78.0,99.0,5.0,14.0,227.0,27922.0,1001.4,2007,2007-07-15
7,16,0.0,18.6,25.2,32.3,46.0,76.0,98.0,6.0,21.0,244.0,27694.0,1000.1,2007,2007-07-16
7,17,0.0,17.6,25.8,33.2,35.0,74.0,99.0,5.0,17.0,1.0,26911.0,998.4,2007,2007-07-17
7,18,0.0,19.2,26.6,34.0,39.0,75.0,99.0,5.0,18.0,237.0,26787.0,997.0,2007,2007-07-18
7,19,0.0,20.0,27.7,36.1,27.0,69.0,98.0,5.0,14.0,219.0,26966.0,995.0,2007,2007-07-19
7,20,0.0,19.2,27.7,35.3,35.0,63.0,98.0,6.0,18.0,181.0,26848.0,993.7,2007,2007-07-20
7,21,0.0,19.4,27.5,34.8,24.0,67.0,98.0,6.0,18.0,188.0,27112.0,992.7,2007,2007-07-21
7,22,0.0,19.8,25.3,31.8,38.0,73.0,99.0,9.0,27.0,163.0,26568.0,991.0,2007,2007-07-22
7,23,0.0,19.0,25.2,32.0,28.0,64.0,93.0,9.0,25.0,32.0,25565.0,989.7,2007,2007-07-23
7,24,57.6,14.7,21.0,28.9,53.0,80.0,98.0,8.0,32.0,288.0,12172.0,987.8,2007,2007-07-24
7,25,0.2,14.5,22.7,30.3,25.0,62.0,98.0,6.0,18.0,107.0,28352.0,995.0,2007,2007-07-25
7,26,0.0,15.7,23.4,30.9,29.0,63.0,94.0,6.0,20.0,100.0,27356.0,996.2,2007,2007-07-26
7,27,0.0,16.6,25.0,32.6,34.0,69.0,98.0,5.0,20.0,262.0,26192.0,995.2,2007,2007-07-27
7,28,1.0,19.5,26.5,34.0,29.0,64.0,92.0,8.0,43.0,25.0,24281.0,994.2,2007,2007-07-28
7,29,0.0,20.1,25.1,32.1,36.0,70.0,91.0,6.0,17.0,89.0,20636.0,992.2,2007,2007-07-29
7,30,1.0,12.6,21.1,29.8,36.0,72.0,95.0,8.0,40.0,141.0,15385.0,990.5,2007,2007-07-30
7,31,0.0,12.2,18.6,26.1,22.0,63.0,97.0,5.0,19.0,131.0,26621.0,997.5,2007,2007-07-31
8,1,0.0,12.0,19.9,27.4,27.0,60.0,92.0,6.0,29.0,273.0,26952.0,999.1,2007,2007-08-01
8,2,0.0,13.8,21.4,29.0,31.0,67.0,96.0,6.0,25.0,189.0,24965.0,996.4,2007,2007-08-02
